FID,XLL,XUL,XUR,XLR,YLL,YUL,YUR,YLR
98,-1.8332934,-1.9999601,-1.9999601,-1.8332934,25.1666898,25.1666898,25.3333565,25.3333565
99,-1.6666267,-1.8332934,-1.8332934,-1.6666267,25.1666898,25.1666898,25.3333565,25.3333565
100,-1.49996,-1.6666267,-1.6666267,-1.49996,25.1666898,25.1666898,25.3333565,25.3333565
101,-1.3332933,-1.49996,-1.49996,-1.3332933,25.1666898,25.1666898,25.3333565,25.3333565
102,-1.1666266,-1.3332933,-1.3332933,-1.1666266,25.1666898,25.1666898,25.3333565,25.3333565
103,-0.9999599,-1.1666266,-1.1666266,-0.9999599,25.1666898,25.1666898,25.3333565,25.3333565
104,-0.8332932,-0.9999599,-0.9999599,-0.8332932,25.1666898,25.1666898,25.3333565,25.3333565
105,-0.6666265,-0.8332932,-0.8332932,-0.6666265,25.1666898,25.1666898,25.3333565,25.3333565
106,-0.4999598,-0.6666265,-0.6666265,-0.4999598,25.1666898,25.1666898,25.3333565,25.3333565
107,-0.3332931,-0.4999598,-0.4999598,-0.3332931,25.1666898,25.1666898,25.3333565,25.3333565
108,-0.1666264,-0.3332931,-0.3332931,-0.1666264,25.1666898,25.1666898,25.3333565,25.3333565
109,4.03E-05,-0.1666264,-0.1666264,4.03E-05,25.1666898,25.1666898,25.3333565,25.3333565
110,0.166707,4.03E-05,4.03E-05,0.166707,25.1666898,25.1666898,25.3333565,25.3333565
111,0.3333737,0.166707,0.166707,0.3333737,25.1666898,25.1666898,25.3333565,25.3333565
112,0.5000404,0.3333737,0.3333737,0.5000404,25.1666898,25.1666898,25.3333565,25.3333565
113,0.6667071,0.5000404,0.5000404,0.6667071,25.1666898,25.1666898,25.3333565,25.3333565
114,0.8333738,0.6667071,0.6667071,0.8333738,25.1666898,25.1666898,25.3333565,25.3333565
115,1.0000405,0.8333738,0.8333738,1.0000405,25.1666898,25.1666898,25.3333565,25.3333565
116,1.1667072,1.0000405,1.0000405,1.1667072,25.1666898,25.1666898,25.3333565,25.3333565
117,1.3333739,1.1667072,1.1667072,1.3333739,25.1666898,25.1666898,25.3333565,25.3333565
118,1.5000406,1.3333739,1.3333739,1.5000406,25.1666898,25.1666898,25.3333565,25.3333565
119,1.6667073,1.5000406,1.5000406,1.6667073,25.1666898,25.1666898,25.3333565,25.3333565
120,1.833374,1.6667073,1.6667073,1.833374,25.1666898,25.1666898,25.3333565,25.3333565
121,2.0000407,1.833374,1.833374,2.0000407,25.1666898,25.1666898,25.3333565,25.3333565
